,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2009-12-31,8.73,9.83,10.04,8.51,11704850,10726105403.0,17.63,13.25,1.15,14.92
1,2010-01-29,9.86,10.31,11.47,9.42,10067871,10354567876.0,20.85,4.88,0.48,12.83
2,2010-02-25,10.3,11.76,11.79,9.87,4229629,4565307486.0,18.62,14.06,1.45,5.39
3,2010-03-31,12.11,12.59,13.0,10.81,4050952,4844611878.0,18.62,7.06,0.83,5.16
4,2010-04-30,12.59,12.56,14.8,12.22,7718226,10309252806.0,20.49,-0.24,-0.03,9.84
5,2010-05-31,12.27,10.93,13.87,9.95,8368005,9451251900.0,31.21,-12.98,-1.63,10.67
6,2010-06-29,10.84,10.4,12.01,10.12,5852160,6406607075.0,17.29,-4.85,-0.53,7.46
7,2010-07-30,10.23,12.38,12.87,9.52,6281272,7101484491.0,32.21,19.04,1.98,8.01
8,2010-08-31,12.34,11.35,12.98,11.23,8787287,10479171729.0,14.14,-8.32,-1.03,11.2
9,2010-09-30,11.35,12.01,12.71,10.72,10466957,12372770801.0,17.53,5.81,0.66,13.34
10,2010-10-29,12.12,15.7,17.43,11.97,10572139,15480220186.0,45.46,30.72,3.69,13.48
11,2010-11-30,15.71,12.57,16.21,12.2,10642994,15054830046.0,25.54,-19.94,-3.13,13.57
12,2010-12-31,12.56,13.8,13.87,12.27,7407968,9633027319.0,12.73,9.79,1.23,9.44
13,2011-01-31,13.9,11.81,14.2,11.12,8220595,10124034274.0,22.32,-14.42,-1.99,10.48
14,2011-02-28,11.81,11.95,13.01,11.16,6690645,8025550505.0,15.66,1.19,0.14,8.53
15,2011-03-31,11.96,11.13,12.39,11.1,7807300,9006866636.0,10.79,-6.86,-0.82,9.95
16,2011-04-29,11.12,11.22,12.11,10.68,7961453,8942271418.0,12.85,0.81,0.09,10.15
17,2011-05-31,11.24,9.63,11.3,9.32,3608161,3775761214.0,17.65,-14.17,-1.59,4.6
18,2011-06-30,9.62,9.83,10.4,9.14,3708469,3501599070.0,13.08,2.08,0.2,4.73
19,2011-07-29,9.83,10.19,10.8,9.75,4966665,5027214126.0,10.68,3.66,0.36,6.33
20,2011-08-31,10.17,9.47,10.29,8.8,4016421,3746757140.0,14.62,-7.07,-0.72,5.12
21,2011-09-30,9.62,8.1,9.62,8.04,2245653,1925686195.0,16.68,-14.47,-1.37,2.86
22,2011-10-31,8.19,8.22,8.56,7.74,1926167,1535846547.0,10.12,1.48,0.12,2.46
23,2011-11-30,8.22,7.08,8.61,7.02,2923177,2270037596.0,19.34,-13.87,-1.14,3.56
24,2011-12-30,7.34,6.61,7.35,5.99,2835297,1785569592.0,19.21,-6.64,-0.47,3.46
25,2012-01-31,6.67,7.04,7.59,6.43,2063057,1386350924.0,17.55,6.51,0.43,2.52
26,2012-02-29,7.04,7.25,7.67,6.66,3996579,2740413990.0,14.35,2.98,0.21,4.87
27,2012-03-30,7.25,6.12,7.39,6.04,3021167,2022476611.0,18.62,-15.59,-1.13,3.68
28,2012-04-27,6.14,6.59,6.76,6.12,1359781,837246866.0,10.46,7.68,0.47,1.66
29,2012-05-31,6.74,6.49,7.13,6.11,4410156,2788210411.0,15.48,-1.52,-0.1,5.38
30,2012-06-29,6.53,6.39,6.64,6.19,2545966,1565090810.0,6.93,-1.54,-0.1,3.1
31,2012-07-31,6.36,6.4,6.89,6.25,3193614,2004557394.0,10.02,0.16,0.01,3.89
32,2012-08-31,6.41,5.19,6.49,5.12,2790510,1517025898.0,21.41,-18.91,-1.21,3.4
33,2012-09-28,5.17,5.33,5.48,4.87,2897733,1401566534.0,11.75,2.7,0.14,3.53
34,2012-10-31,5.36,5.41,5.75,5.23,1375545,694411403.0,9.76,1.5,0.08,1.68
35,2012-11-30,5.44,5.01,5.52,4.85,2021123,968158326.0,12.38,-7.39,-0.4,2.46
36,2012-12-31,5.01,6.35,6.36,4.89,3480086,1880125408.0,29.34,26.75,1.34,4.24
37,2013-01-31,6.39,6.31,6.54,5.93,5510804,3245446911.0,9.61,-0.63,-0.04,6.72
38,2013-02-28,6.27,5.9,6.5,5.63,3216660,1866584032.0,13.79,-6.5,-0.41,3.92
39,2013-03-29,5.9,5.91,6.22,5.61,3169583,1765157119.0,10.34,0.17,0.01,3.87
40,2013-04-26,5.85,5.58,5.92,5.23,2226375,1172842035.0,11.68,-5.58,-0.33,2.72
41,2013-05-31,5.55,5.66,5.93,5.52,1831646,996686659.0,7.35,1.43,0.08,2.23
42,2013-06-28,5.68,4.59,5.72,4.35,2017008,934715297.0,24.2,-18.9,-1.07,2.46
43,2013-07-31,4.6,4.25,4.62,4.15,3525115,1402096258.0,10.24,-7.41,-0.34,4.3
44,2013-08-30,4.27,4.56,4.96,4.24,4185226,1696248819.0,16.94,7.29,0.31,5.1
45,2013-09-30,4.57,4.45,5.06,4.39,6467227,2749884476.0,14.69,-2.41,-0.11,7.89
46,2013-10-31,4.43,4.35,4.55,4.25,3406910,1367352606.0,6.74,-2.25,-0.1,4.15
47,2013-11-29,4.34,4.6,4.69,4.25,3969119,1616509963.0,10.11,5.75,0.25,4.77
48,2013-12-31,4.57,4.36,4.72,4.24,3091851,1260678336.0,10.43,-5.22,-0.24,3.71
49,2014-01-30,4.35,4.14,4.36,4.11,1705836,645530341.0,5.73,-5.05,-0.22,2.05
50,2014-02-28,4.12,4.1,4.35,4.04,2181949,830830424.0,7.49,-0.97,-0.04,2.62
51,2014-03-31,4.09,3.85,4.16,3.82,2746484,969461615.0,8.29,-6.1,-0.25,3.3
52,2014-04-30,3.85,3.72,4.06,3.7,3171486,1105395691.0,9.35,-3.38,-0.13,3.81
53,2014-05-30,3.72,3.69,3.82,3.67,1835811,610155206.0,4.03,-0.81,-0.03,2.2
54,2014-06-30,3.71,3.7,3.78,3.62,1978276,648401079.0,4.34,0.27,0.01,2.38
55,2014-07-31,3.69,4.07,4.1,3.68,4173017,1428905171.0,11.35,10.0,0.37,5.01
56,2014-08-29,4.06,4.03,4.34,3.98,5372349,1952282418.0,8.85,-0.98,-0.04,6.45
57,2014-09-30,4.03,4.45,4.56,4.01,7948119,3058437847.0,13.65,10.42,0.42,9.54
58,2014-10-31,4.45,4.88,5.13,4.36,12644549,5407465420.0,17.3,9.66,0.43,15.18
59,2014-11-28,4.88,6.08,6.08,4.87,17366539,8518810590.0,24.8,24.59,1.2,20.85
60,2014-12-31,6.31,8.3,8.97,6.26,38629469,27483834752.0,44.57,36.51,2.22,46.38
61,2015-01-30,8.44,8.15,10.03,8.1,20828672,17764926528.0,23.25,-1.81,-0.15,25.01
