,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2007-12-28,22.55,27.49,28.85,22.0,6235740,15970950941.0,29.12,16.88,3.97,53.47
1,2008-01-31,28.1,20.33,29.9,20.05,8490429,22740703374.0,35.83,-26.05,-7.16,72.81
2,2008-02-29,20.38,19.45,23.95,17.43,6484474,13313964671.0,32.07,-4.33,-0.88,39.56
3,2008-03-31,19.25,16.63,20.92,13.27,7972424,13636184312.0,39.33,-14.5,-2.82,48.64
4,2008-04-30,16.71,14.88,18.43,11.25,10791315,15801949869.0,43.17,-10.52,-1.75,65.84
5,2008-05-29,15.25,12.34,16.36,12.08,7422711,10555514520.0,28.76,-17.07,-2.54,45.29
6,2008-06-30,12.57,8.61,13.16,7.47,5667010,5414257158.0,46.11,-30.23,-3.73,34.58
7,2008-07-31,8.77,10.13,11.27,7.91,12308332,12464320964.0,39.02,17.65,1.52,75.1
8,2008-08-29,10.13,5.82,10.42,5.52,5045416,3734399557.0,48.37,-42.55,-4.31,30.78
9,2008-09-26,5.78,6.21,6.27,4.76,4424233,2442894974.0,25.95,6.7,0.39,26.99
10,2008-10-31,6.17,3.64,6.32,3.54,4592245,2245162620.0,44.77,-41.38,-2.57,28.02
11,2008-11-28,3.57,4.07,5.08,3.37,8097117,3384838448.0,46.98,11.81,0.43,49.4
12,2008-12-31,4.0,4.22,5.53,3.89,10981749,5086493936.0,40.29,3.69,0.15,67.0
13,2009-01-23,4.27,4.37,4.72,4.17,6158654,2678208796.0,13.03,3.55,0.15,37.58
14,2009-02-27,4.42,4.56,5.88,4.37,14458266,7367538696.0,34.55,4.35,0.19,88.21
15,2009-03-31,4.53,6.61,6.67,4.41,12202065,6498720581.0,49.56,44.96,2.05,74.45
16,2009-04-30,6.54,6.8,7.5,6.03,11561763,7760691020.0,22.24,2.87,0.19,70.54
17,2009-05-27,6.81,6.53,7.42,6.21,7337965,4852821892.0,17.79,-3.97,-0.27,44.77
18,2009-06-30,6.57,7.14,7.47,6.34,11450972,7630215231.0,17.3,9.34,0.61,69.87
19,2009-07-31,7.12,9.63,9.81,6.98,15508583,12825324181.0,39.64,34.87,2.49,94.62
20,2009-08-31,9.64,7.7,10.58,7.05,11593671,9633900060.0,36.66,-20.04,-1.93,14.78
