,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2007-12-28,109.32,106.52,122.6,99.92,1863039,20323251680.0,20.78,-2.41,-2.63,23.14
1,2008-01-31,106.22,72.23,113.32,69.4,5385961,50416919778.0,41.23,-32.19,-34.29,66.91
2,2008-02-29,72.81,71.62,80.24,65.43,2295658,16779382282.0,20.5,-0.84,-0.61,28.52
3,2008-03-31,71.02,53.33,74.23,48.72,7594377,44823796108.0,35.62,-25.54,-18.29,19.34
4,2008-04-30,52.92,69.42,70.21,51.53,8888246,53709907974.0,35.03,30.17,16.09,22.64
5,2008-05-30,70.42,57.22,70.92,53.04,4397552,26949643732.0,25.76,-17.57,-12.2,11.2
6,2008-06-30,56.82,50.18,58.43,47.96,3448639,17536431725.0,18.3,-12.3,-7.04,8.78
7,2008-07-31,50.42,43.89,50.46,39.68,7808115,33391884389.0,21.48,-12.53,-6.29,19.89
8,2008-08-29,43.61,46.85,47.65,40.42,3393609,14889524246.0,16.47,6.74,2.96,8.64
9,2008-09-26,46.42,34.19,46.43,31.12,6453667,23567737254.0,32.68,-27.02,-12.66,16.44
10,2008-10-31,35.02,23.84,35.38,21.02,12067579,30912703687.0,42.0,-30.27,-10.35,30.73
11,2008-11-28,23.8,23.61,28.6,23.5,11231595,28032284185.0,21.39,-0.96,-0.23,28.6
12,2008-12-31,23.59,27.71,32.42,22.73,10561296,28356126341.0,41.04,17.37,4.1,26.9
13,2009-01-23,29.02,29.98,32.22,28.42,5404337,15870653123.0,13.71,8.19,2.27,13.76
14,2009-02-27,30.62,33.07,37.82,30.15,8087503,26859694034.0,25.58,10.31,3.09,20.6
15,2009-03-31,33.05,40.23,41.22,30.94,10476845,37617202705.0,31.09,21.65,7.16,26.68
16,2009-04-30,40.07,40.82,44.77,38.5,7577678,30697885916.0,15.59,1.47,0.59,19.3
17,2009-05-27,40.9,40.73,43.75,39.47,4951173,20068548032.0,10.49,-0.22,-0.09,12.61
18,2009-06-30,41.82,50.58,52.14,41.74,7784816,35336231531.0,25.53,24.18,9.85,19.83
19,2009-07-31,50.52,62.16,65.64,50.42,7096074,41386598171.0,30.09,22.89,11.58,18.07
20,2009-08-31,62.47,44.41,64.31,44.01,7970731,41605481338.0,32.66,-28.56,-17.75,20.3
21,2009-09-30,44.5,51.97,54.83,44.28,6383116,31955096534.0,23.76,17.02,7.56,16.26
22,2009-10-30,53.59,57.23,61.39,53.13,3973434,22493889988.0,15.89,10.12,5.26,10.12
23,2009-11-30,55.97,58.09,64.24,55.85,7295969,43350728680.0,14.66,1.5,0.86,18.58
24,2009-12-31,57.75,56.36,61.86,51.54,8094076,44693561007.0,17.77,-2.98,-1.73,20.61
25,2010-01-29,56.76,47.74,56.86,47.27,6981036,35544832366.0,17.02,-15.29,-8.62,17.78
26,2010-02-26,48.23,46.29,51.72,45.27,6569714,30703712285.0,13.51,-3.04,-1.45,16.73
27,2010-03-31,47.25,51.67,52.27,46.28,6800335,32289141858.0,12.94,11.62,5.38,14.21
28,2010-04-30,51.67,50.67,54.22,48.97,6459632,32868265135.0,10.16,-1.94,-1.0,13.5
29,2010-05-31,49.87,46.63,51.37,44.84,6445127,30364020321.0,12.89,-7.97,-4.04,13.47
30,2010-06-28,46.47,48.08,49.23,44.87,3952539,18160665569.0,9.35,3.11,1.45,8.26
31,2010-09-30,49.57,54.61,55.22,48.97,5176251,25836174659.0,13.0,13.58,6.53,10.81
32,2010-10-29,54.22,61.64,68.92,54.22,8129833,50275329447.0,26.92,12.87,7.03,16.99
33,2010-11-30,63.78,58.41,65.92,57.04,7644036,45483036976.0,14.41,-5.24,-3.23,15.97
34,2010-12-31,58.12,57.88,63.87,56.52,5647973,32930983165.0,12.58,-0.91,-0.53,11.8
35,2011-01-31,58.57,51.42,59.32,49.62,5736626,29700660047.0,16.76,-11.16,-6.46,11.99
36,2011-02-28,51.5,51.48,54.22,49.93,4486900,22606587677.0,8.34,0.12,0.06,9.37
37,2011-03-31,51.51,51.18,55.73,50.23,7009958,35653629307.0,10.68,-0.58,-0.3,14.65
38,2011-04-29,51.32,53.95,57.2,51.25,5945220,31374818830.0,11.63,5.41,2.77,12.42
39,2011-05-31,53.72,50.43,54.4,49.41,3455840,17154242340.0,9.25,-6.52,-3.52,7.22
40,2011-06-30,50.22,49.99,50.56,45.68,3325718,15547626322.0,9.68,-0.87,-0.44,6.95
41,2011-07-29,50.1,46.62,51.42,45.98,3615199,16979108535.0,10.88,-6.74,-3.37,7.55
42,2011-08-31,46.62,42.85,47.12,41.73,4669667,19462501353.0,11.56,-8.09,-3.77,9.76
43,2011-09-30,43.12,35.84,43.85,35.66,4223959,15893002624.0,19.11,-16.36,-7.01,8.82
44,2011-10-31,36.08,40.95,42.02,36.04,4462078,16370698112.0,16.69,14.26,5.11,9.32
45,2011-11-30,40.5,37.53,43.57,37.42,4779151,18373897632.0,15.02,-8.35,-3.42,9.98
46,2011-12-30,39.37,36.71,40.65,35.72,4348189,15649696592.0,13.14,-2.18,-0.82,9.08
47,2012-01-31,37.16,40.61,41.74,35.62,3789862,13879178112.0,16.67,10.62,3.9,7.92
48,2012-02-29,40.5,43.09,44.47,39.39,5306846,21292000912.0,12.51,6.11,2.48,11.09
49,2012-03-30,42.97,38.85,43.72,38.37,4876776,19147333920.0,12.42,-9.84,-4.24,10.19
50,2012-04-27,38.85,42.98,44.1,38.41,4182397,16711541056.0,14.65,10.63,4.13,8.74
51,2012-05-31,44.01,44.16,45.62,42.45,5556494,23260179072.0,7.38,2.75,1.18,11.61
52,2012-06-29,44.17,48.01,48.97,42.81,4778295,20974752160.0,13.95,8.72,3.85,9.98
