,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2007-12-28,20.79,23.96,24.98,20.42,6304024,11799300748.0,21.93,15.25,3.17,12.84
1,2008-01-31,23.97,20.98,25.35,20.18,9987614,18830797171.0,21.58,-12.44,-2.98,20.34
2,2008-02-29,21.09,21.54,22.33,19.9,2839595,4895828996.0,11.58,2.67,0.56,5.78
3,2008-03-31,21.55,17.61,22.51,17.04,4379067,6966363482.0,25.39,-18.25,-3.93,8.92
4,2008-04-30,17.61,17.54,18.95,14.14,9834854,12704283500.0,27.31,-0.4,-0.07,20.03
5,2008-05-07,17.68,18.31,18.84,17.2,2477652,3624716052.0,9.35,4.39,0.77,5.05
6,2009-05-27,18.25,16.93,19.98,16.82,13663769,19489042839.0,17.26,-7.54,-1.38,27.83
7,2009-06-30,17.08,17.64,18.54,16.96,18443080,25530976902.0,9.33,4.19,0.71,37.57
8,2009-07-31,17.64,19.93,20.1,17.55,29465928,43204853806.0,14.46,12.98,2.29,60.02
9,2009-08-28,20.14,17.32,20.78,16.6,16210892,23893790245.0,20.97,-13.1,-2.61,33.02
10,2009-09-30,16.65,17.41,18.71,16.62,8407337,11410773907.0,12.07,0.52,0.09,17.13
11,2009-10-30,17.58,17.06,18.07,16.89,6723289,9125253053.0,6.78,-2.01,-0.35,13.69
12,2009-11-30,16.84,17.52,18.6,16.77,13624187,18608683493.0,10.73,2.7,0.46,27.75
13,2009-12-31,17.52,17.4,17.76,16.76,11112082,14718621851.0,5.71,-0.68,-0.12,22.63
14,2010-01-29,17.45,16.72,17.47,16.4,7915345,10269142454.0,6.15,-3.91,-0.68,16.12
15,2010-02-26,16.71,16.97,17.06,16.51,3704271,4746270260.0,3.29,1.5,0.25,7.55
16,2010-03-31,17.0,16.42,17.19,16.35,5156946,6584159500.0,4.95,-3.24,-0.55,10.5
17,2010-04-30,16.42,17.74,18.12,16.39,11727856,15517894094.0,10.54,8.04,1.32,23.89
18,2010-05-31,17.62,16.11,17.96,16.07,6326588,8040627950.0,10.65,-9.19,-1.63,12.89
19,2010-06-30,16.06,16.39,16.6,15.7,3047447,3732613167.0,5.59,1.74,0.28,6.21
20,2010-07-30,16.34,16.63,16.86,15.74,6720086,6679137115.0,6.83,1.46,0.24,9.13
