,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2009-12-31,667.1,656.03,698.47,632.17,612733,10516699876.0,9.87,-2.3,-15.44,6.49
1,2010-01-29,664.26,651.2,669.47,619.34,632906,10563899791.0,7.64,-0.74,-4.83,6.71
2,2010-02-26,652.49,644.78,677.85,634.82,264528,4483486019.0,6.61,-0.99,-6.42,2.8
3,2010-03-31,643.31,614.28,647.09,607.33,377834,6095175821.0,6.17,-4.73,-30.5,4.0
4,2010-04-30,614.36,502.04,620.85,497.21,1138449,16522437412.0,20.13,-18.27,-112.24,12.06
5,2010-05-31,498.12,512.8,530.24,488.72,474924,6275094435.0,8.27,2.14,10.76,5.03
6,2010-06-30,512.31,495.74,553.27,488.76,391280,5259606115.0,12.58,-3.33,-17.06,4.15
7,2010-07-30,497.59,542.91,559.63,489.64,459779,6235661301.0,14.12,9.52,47.17,4.87
8,2010-08-31,542.76,620.53,627.17,542.76,566019,8538586693.0,15.55,14.3,77.62,6.0
9,2010-09-30,618.91,656.39,674.21,607.96,396390,6568470714.0,10.68,5.78,35.86,4.2
10,2010-10-29,657.41,635.33,685.46,603.8,744185,12223704119.0,12.44,-3.21,-21.06,7.88
11,2010-11-30,635.52,792.6,857.5,628.15,1532677,27790814650.0,36.1,24.75,157.27,16.24
12,2010-12-31,785.77,713.74,821.63,689.12,1024080,19980475496.0,16.72,-9.95,-78.86,10.85
13,2011-01-31,724.99,691.35,728.76,659.6,673168,12013656382.0,9.69,-3.14,-22.39,7.13
14,2011-02-28,691.39,693.96,732.16,683.84,455421,8322885810.0,6.99,0.38,2.61,4.83
15,2011-03-31,694.07,698.37,752.17,678.18,793555,14462933109.0,10.66,0.64,4.41,8.41
16,2011-04-29,698.86,707.66,718.12,664.09,580807,10313629533.0,7.74,1.33,9.29,6.15
17,2011-05-31,710.27,788.79,789.47,706.49,638296,12395908868.0,11.73,11.46,81.13,6.76
18,2011-06-30,789.92,822.12,824.65,769.91,580826,11981811075.0,6.94,4.23,33.33,6.15
19,2011-07-29,827.48,886.41,895.51,816.27,583961,11588199601.0,9.64,7.82,64.29,5.62
20,2011-08-31,889.07,919.97,939.61,829.56,691008,14363662617.0,12.42,3.79,33.56,6.66
21,2011-09-30,919.68,819.55,922.91,795.92,551487,10940039072.0,13.8,-10.92,-100.42,5.31
22,2011-10-31,820.76,876.11,886.87,788.03,387168,7621518756.0,12.06,6.9,56.56,3.73
23,2011-11-30,871.84,900.41,925.45,857.38,584118,12120932504.0,7.77,2.77,24.3,5.63
24,2011-12-30,913.45,830.81,925.9,802.53,613986,12299457360.0,13.7,-7.73,-69.6,5.91
25,2012-01-31,823.33,802.19,836.45,737.79,503057,9271379760.0,11.88,-3.44,-28.62,4.85
26,2012-02-29,801.32,877.15,879.39,790.07,495692,9548660145.0,11.13,9.34,74.96,4.77
27,2012-03-30,873.25,846.01,924.66,829.48,769487,15653151646.0,10.85,-3.55,-31.14,7.41
28,2012-04-27,842.43,960.62,964.44,842.43,408009,8627225456.0,14.42,13.55,114.61,3.93
29,2012-05-31,966.6,1010.95,1015.6,924.66,664322,15027139056.0,9.47,5.24,50.33,6.4
30,2012-06-29,1016.43,1021.21,1059.25,992.06,440065,10546692384.0,6.65,1.01,10.26,4.24
31,2012-07-31,1024.74,1068.08,1149.64,1008.21,688581,17373009040.0,13.85,4.59,46.87,6.63
32,2012-08-31,1067.0,957.29,1131.24,931.29,650460,15463700592.0,18.72,-10.37,-110.79,6.27
33,2012-09-28,1028.88,1065.42,1069.08,991.84,553948,13132137840.0,8.07,11.3,108.13,5.34
34,2012-10-31,1063.35,1071.82,1103.46,1030.87,314811,7745813140.0,6.81,0.6,6.4,3.03
35,2012-11-30,1075.43,941.71,1086.39,903.47,545663,12234301582.0,17.07,-12.14,-130.11,5.26
36,2012-12-31,929.21,912.69,962.44,808.79,1383610,28227849920.0,16.32,-3.08,-29.02,13.33
